team,elo_rating
Spain,2023.1725382320549
Argentina,2003.4816535469042
France,1999.6109268083082
England,1930.4570909737256
Netherlands,1925.52245633376
Portugal,1921.8299887933015
Germany,1918.7422423299195
Japan,1911.9254720477168
Brazil,1909.12898970708
Morocco,1907.8669765974114
Colombia,1904.2129397259553
Croatia,1899.1037225598463
Ecuador,1894.7965894430852
Italy,1883.4973814988841
Turkey,1882.4291948144228
Norway,1871.5995339784079
Senegal,1859.6085359615804
Denmark,1854.7379772742488
Uruguay,1853.921765380453
Belgium,1849.4643678432926
Mexico,1845.688466814728
Paraguay,1841.9067114640916
Switzerland,1840.8334112309553
Austria,1839.8297513690507
Australia,1838.5212050853033
United States,1829.8549951061837
South Korea,1818.8885874359887
Algeria,1818.4267719998627
Iran,1810.5236244216726
Russia,1808.3169511005885
Uzbekistan,1806.5918221201835
Canada,1803.3645224069755
Basque Country,1802.0881965877313
Poland,1789.2369786465301
Sweden,1783.988192007067
Scotland,1777.5748470774993
Serbia,1775.0988974197708
Ukraine,1774.1081812272378
Nigeria,1768.5755594787902
Ivory Coast,1767.0012234036624
Panama,1764.2298182387342
Czech Republic,1762.2023442958794
Egypt,1761.7365995705418
Iraq,1760.0992856586793
Hungary,1758.253315874051
Yugoslavia,1754.586070751235
Greece,1749.1509158405863
Tunisia,1748.8526391039522
DR Congo,1746.3670472206486
Kosovo,1745.8862591355191
Jersey,1745.6440163839557
Venezuela,1742.0155343662868
Jordan,1740.4388455335102
Chile,1739.5182639690368
Slovenia,1730.6514566469345
Wales,1728.997675754518
Republic of Ireland,1726.1954029529334
Czechoslovakia,1718.8275295432195
Catalonia,1711.6397864428645
Saudi Arabia,1701.5942597569194
German DR,1701.0045740023565
Slovakia,1700.5168949727918
New Zealand,1700.0688148583993
Bolivia,1686.7292632691863
Guernsey,1684.5272804209483
Peru,1682.940957186107
Bosnia and Herzegovina,1678.6909969821693
Cape Verde,1676.2474143201125
Costa Rica,1675.4483850959007
Albania,1669.3776911566772
South Africa,1664.3099862825159
Cameroon,1664.010739194431
Haiti,1658.083649382731
Mali,1658.04646164814
Ynys Môn,1655.5120752654934
Georgia,1651.318859987481
Isle of Man,1648.612780522955
Padania,1647.7738411654584
Occitania,1645.1790936504558
United Arab Emirates,1644.946883366056
Burkina Faso,1641.3798504155827
Ghana,1640.2818937185714
Jamaica,1637.6844562609638
Northern Cyprus,1634.2695171330229
Romania,1633.3317673319755
Honduras,1632.4791351653382
Israel,1632.036128489214
Andalusia,1631.5629840668312
Qatar,1630.9994859215676
Iraqi Kurdistan,1627.9871949932174
Northern Ireland,1626.4380551428237
Isle of Wight,1624.908502350814
North Macedonia,1624.2365241085124
Iceland,1612.374792768941
Kernow,1604.8092811831455
Curaçao,1603.3364401910644
Guatemala,1601.196052453474
Oman,1599.646797931906
Abkhazia,1596.3772881192556
Finland,1587.8629165159384
Corsica,1579.9604036214348
County of Nice,1576.7529738932972
Rhodes,1576.3032375217344
Kárpátalja,1570.6308675671457
Bulgaria,1563.1711609160448
Yorkshire,1558.861478900411
Ellan Vannin,1558.6548748792477
Galicia,1557.6516260237627
Tamil Eelam,1555.624405465826
Belarus,1555.1680713761093
Artsakh,1550.6394107319413
Suriname,1549.0581450320954
Réunion,1549.0125082915088
Kurdistan,1547.6524984679115
Angola,1546.6072811187278
Syria,1544.5204101514594
China PR,1544.027151025735
Palestine,1543.5049467480494
Thailand,1542.7664667556787
Arameans Suryoye,1540.18118877949
