stage,group,matchday,match_id,date,home_team,away_team,venue,kickoff_utc,status,home_score,away_score,home_team_group,home_confederation,home_fifa_rank,away_team_group,away_confederation,away_fifa_rank
Group Stage,A,1.0,GS-A-MD1-1,2026-06-11,USA,Panama,AT&T Stadium (Dallas),2026-06-11T19:00:00Z,scheduled,,,A,CONCACAF,13,A,CONCACAF,36
Group Stage,A,1.0,GS-A-MD1-2,2026-06-12,Bolivia,Uruguay,SoFi Stadium (Los Angeles),2026-06-12T19:00:00Z,scheduled,,,A,CONMEBOL,39,A,CONMEBOL,12
Group Stage,A,2.0,GS-A-MD2-3,2026-06-17,USA,Bolivia,Levi's Stadium (San Francisco),2026-06-17T19:00:00Z,scheduled,,,A,CONCACAF,13,A,CONMEBOL,39
Group Stage,A,2.0,GS-A-MD2-4,2026-06-18,Panama,Uruguay,AT&T Stadium (Dallas),2026-06-18T19:00:00Z,scheduled,,,A,CONCACAF,36,A,CONMEBOL,12
Group Stage,A,3.0,GS-A-MD3-5,2026-06-23,USA,Uruguay,SoFi Stadium (Los Angeles),2026-06-23T19:00:00Z,scheduled,,,A,CONCACAF,13,A,CONMEBOL,12
Group Stage,A,3.0,GS-A-MD3-6,2026-06-24,Panama,Bolivia,Levi's Stadium (San Francisco),2026-06-24T19:00:00Z,scheduled,,,A,CONCACAF,36,A,CONMEBOL,39
Group Stage,B,1.0,GS-B-MD1-1,2026-06-11,Mexico,South Korea,Estadio Azteca (Mexico City),2026-06-11T19:00:00Z,scheduled,,,L,CONCACAF,14,L,AFC,25
Group Stage,B,1.0,GS-B-MD1-2,2026-06-12,Croatia,Poland,Estadio BBVA (Monterrey),2026-06-12T19:00:00Z,scheduled,,,B,UEFA,11,B,UEFA,27
Group Stage,B,2.0,GS-B-MD2-3,2026-06-17,Mexico,Croatia,Estadio Akron (Guadalajara),2026-06-17T19:00:00Z,scheduled,,,L,CONCACAF,14,B,UEFA,11
Group Stage,B,2.0,GS-B-MD2-4,2026-06-18,South Korea,Poland,Estadio Azteca (Mexico City),2026-06-18T19:00:00Z,scheduled,,,L,AFC,25,B,UEFA,27
Group Stage,B,3.0,GS-B-MD3-5,2026-06-23,Mexico,Poland,Estadio BBVA (Monterrey),2026-06-23T19:00:00Z,scheduled,,,L,CONCACAF,14,B,UEFA,27
Group Stage,B,3.0,GS-B-MD3-6,2026-06-24,South Korea,Croatia,Estadio Akron (Guadalajara),2026-06-24T19:00:00Z,scheduled,,,L,AFC,25,B,UEFA,11
Group Stage,C,1.0,GS-C-MD1-1,2026-06-11,Canada,Morocco,BC Place (Vancouver),2026-06-11T19:00:00Z,scheduled,,,C,CONCACAF,26,C,CAF,16
Group Stage,C,1.0,GS-C-MD1-2,2026-06-12,Belgium,Ukraine,BMO Field (Toronto),2026-06-12T19:00:00Z,scheduled,,,C,UEFA,10,C,UEFA,28
Group Stage,C,2.0,GS-C-MD2-3,2026-06-17,Canada,Belgium,Stade de Saputo (Montreal),2026-06-17T19:00:00Z,scheduled,,,C,CONCACAF,26,C,UEFA,10
Group Stage,C,2.0,GS-C-MD2-4,2026-06-18,Morocco,Ukraine,BC Place (Vancouver),2026-06-18T19:00:00Z,scheduled,,,C,CAF,16,C,UEFA,28
Group Stage,C,3.0,GS-C-MD3-5,2026-06-23,Canada,Ukraine,BMO Field (Toronto),2026-06-23T19:00:00Z,scheduled,,,C,CONCACAF,26,C,UEFA,28
Group Stage,C,3.0,GS-C-MD3-6,2026-06-24,Morocco,Belgium,Stade de Saputo (Montreal),2026-06-24T19:00:00Z,scheduled,,,C,CAF,16,C,UEFA,10
Group Stage,D,1.0,GS-D-MD1-1,2026-06-11,France,Brazil,MetLife Stadium (New York/NJ),2026-06-11T19:00:00Z,scheduled,,,D,UEFA,2,D,CONMEBOL,5
Group Stage,D,1.0,GS-D-MD1-2,2026-06-12,Japan,Saudi Arabia,Hard Rock Stadium (Miami),2026-06-12T19:00:00Z,scheduled,,,D,AFC,18,D,AFC,33
Group Stage,D,2.0,GS-D-MD2-3,2026-06-17,France,Japan,Lincoln Financial Field (Philadelphia),2026-06-17T19:00:00Z,scheduled,,,D,UEFA,2,D,AFC,18
Group Stage,D,2.0,GS-D-MD2-4,2026-06-18,Brazil,Saudi Arabia,MetLife Stadium (New York/NJ),2026-06-18T19:00:00Z,scheduled,,,D,CONMEBOL,5,D,AFC,33
Group Stage,D,3.0,GS-D-MD3-5,2026-06-23,France,Saudi Arabia,Hard Rock Stadium (Miami),2026-06-23T19:00:00Z,scheduled,,,D,UEFA,2,D,AFC,33
Group Stage,D,3.0,GS-D-MD3-6,2026-06-24,Brazil,Japan,Lincoln Financial Field (Philadelphia),2026-06-24T19:00:00Z,scheduled,,,D,CONMEBOL,5,D,AFC,18
Group Stage,E,1.0,GS-E-MD1-1,2026-06-11,Spain,Australia,Rose Bowl (Los Angeles),2026-06-11T19:00:00Z,scheduled,,,E,UEFA,4,E,AFC,23
Group Stage,E,1.0,GS-E-MD1-2,2026-06-12,Portugal,Nigeria,Levi's Stadium (San Francisco),2026-06-12T19:00:00Z,scheduled,,,L,UEFA,6,E,CAF,37
Group Stage,E,2.0,GS-E-MD2-3,2026-06-17,Spain,Portugal,SoFi Stadium (Los Angeles),2026-06-17T19:00:00Z,scheduled,,,E,UEFA,4,L,UEFA,6
Group Stage,E,2.0,GS-E-MD2-4,2026-06-18,Australia,Nigeria,Rose Bowl (Los Angeles),2026-06-18T19:00:00Z,scheduled,,,E,AFC,23,E,CAF,37
Group Stage,E,3.0,GS-E-MD3-5,2026-06-23,Spain,Nigeria,Levi's Stadium (San Francisco),2026-06-23T19:00:00Z,scheduled,,,E,UEFA,4,E,CAF,37
Group Stage,E,3.0,GS-E-MD3-6,2026-06-24,Australia,Portugal,SoFi Stadium (Los Angeles),2026-06-24T19:00:00Z,scheduled,,,E,AFC,23,L,UEFA,6
